"island";"ocean"
"Amantani";""
"Isla de la Luna";""
"Belkovsky Island";"Arctic"
"Adams Island";"Atlantic"
"Capri";""
"Crete";"Atlantic"
"Euboea";""
"Fogo";"Atlantic"
"Ireland";"Atlantic"
"Isla de Lobos";"Atlantic"
"Isla de los Estados";"Atlantic"
"Ithaca";"Atlantic"
"Long Island";"Atlantic"
"Puerto Rico";"Atlantic"
"Rocas Atoll";"Atlantic"
"Astola Island";""
"Barrow Island";"Indian"
"Cousin Island";"Indian"
"Fregate Island";"Indian"
"Kings Island";"Indian"
"Larak Island";"Indian"
"Mahe";"Indian"
"Marion Island";"Indian"
"Prince Edward Island";"Indian"
"Snake Island";"Indian"
"Unguja";"Indian"
"A Chaw";"Pacific"
"Baengnyeongdo";"Pacific"
"Dangar";"Pacific"
"Guadalupe Island";"Pacific"
"Hawai'i";"Pacific"
"Jejudo";"Pacific"
"Alexander Island";"Southern"
"King George Island";"Southern"
"Sturge Island";"Southern"
"Tasmania";""
